Date,Open,High,Low,Close,Volume,Adjusted,AssetSymbol,DataSource
2016-05-06,93.370003,93.449997,91.849998,92.720001,43458200,91.353293,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-09,93.0,93.769997,92.589996,92.790001,32936400,91.422261,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-10,93.330002,93.57,92.110001,93.419998,33686800,92.042972,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-11,93.480003,93.57,92.459999,92.510002,28719100,91.146389,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-12,92.720001,92.779999,89.470001,90.339996,76314700,89.00837,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-13,90.0,91.669998,90.0,90.519997,44392800,89.185717,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-16,92.389999,94.389999,91.650002,93.879997,61259800,92.49619,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-17,94.550003,94.699997,93.010002,93.489998,46916900,92.111939,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-18,94.160004,95.209999,93.889999,94.559998,42062400,93.166167,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-19,94.639999,94.639999,93.57,94.199997,30442100,92.811473,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-20,94.639999,95.43,94.519997,95.220001,32026000,93.816442,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-23,95.870003,97.190002,95.669998,96.43,38018600,95.008606,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-24,97.220001,98.089996,96.839996,97.900002,35140200,96.456939,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-25,98.669998,99.739998,98.110001,99.620003,38168800,98.151587,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-26,99.68,100.730003,98.639999,100.410004,56331200,98.929943,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-27,99.440002,100.470001,99.25,100.349998,36229500,98.870823,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-05-31,99.599998,100.400002,98.82,99.860001,42307200,98.388047,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-01,99.019997,99.540001,98.330002,98.459999,29173300,97.008682,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-02,97.599998,97.839996,96.629997,97.720001,40191600,96.279592,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-03,97.790001,98.269997,97.449997,97.919998,28062900,96.476641,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-06,97.989998,101.889999,97.550003,98.629997,23292500,97.176174,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-07,99.25,99.870003,98.959999,99.029999,22409500,97.57028,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-08,99.019997,99.559998,98.68,98.940002,20848100,97.48161,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-09,98.5,99.989998,98.459999,99.650002,26601400,98.181144,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-10,98.529999,99.349998,98.480003,98.830002,31712900,97.373231,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-13,98.690002,99.120003,97.099998,97.339996,38020500,95.905188,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-14,97.32,98.480003,96.75,97.459999,31931900,96.023422,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-15,97.82,98.410004,97.029999,97.139999,29445200,95.708139,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-16,96.449997,97.75,96.07,97.550003,31326800,96.1121,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-17,96.620003,96.650002,95.300003,95.330002,61008200,93.924821,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-20,96.0,96.57,95.029999,95.099998,34411900,93.698208,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-21,94.940002,96.349998,94.68,95.910004,35546400,94.496274,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-22,96.25,96.889999,95.349998,95.550003,29219100,94.14158,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-23,95.940002,96.290001,95.25,96.099998,32240200,94.683468,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-24,92.910004,94.660004,92.650002,93.400002,75311400,92.02327,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-27,93.0,93.050003,91.5,92.040001,45489600,90.683316,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-28,92.900002,93.660004,92.139999,93.589996,40444900,92.210464,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-29,93.970001,94.550003,93.629997,94.400002,36531000,93.00853,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-06-30,94.440002,95.769997,94.300003,95.599998,35836400,94.190838,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-07-01,95.489998,96.470001,95.330002,95.889999,26026500,94.476565,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
